,rms 2006-01-15,rms 2006-02-15,rms 2006-03-15,rms 2006-04-15,rms 2006-05-15,rms 2006-06-15,rms 2006-07-15,rms 2006-08-15,rms 2006-09-15,rms 2006-10-15,rms 2010-11-15,rms 2006-12-15
all,0.10272779918066258,0.2562173013951213,0.1683735039284209,0.08881343262909489,0.2787539887351705,,0.2190534374643615,0.5251699121700218,,0.2544697012197119,0.07329183956994499,0.0986910452125548
Jan,0.10838316125138678,,0.1468065717098032,0.0915943580721097,,,,,,0.25129912046220576,0.07719370133175253,0.09666167117016133
Feb,0.10661826723652869,,0.17086374938600124,0.09072020814041484,,,,,,0.2835375834267079,0.07241561413201487,0.09342129512613352
Mar,0.10840757571108876,,0.1582057560763652,0.09400794090606579,,,,,,0.3017043276085799,0.07683109047289874,0.09655363929779988
Apr,0.10336544694218068,,0.17031073159190946,0.0823982857677777,0.22491370973316613,,,,,0.2357478573202895,0.07431346222137056,0.0869464759289591
May,0.10205701385382396,0.29340541378249924,0.1721686765845521,0.10582899293507776,0.1835044287518374,0.2702032378948683,0.2594784613161384,0.46790946076860473,,0.24977333783793015,0.08381485311682532,0.10922083001101268
Jun,0.22771457413438517,0.41057827626862053,0.2687221960233315,0.2566457027369732,0.16127879481762364,0.25776542060727037,0.34590462985025117,0.4706592466437235,0.4069162270712207,0.2705445829140212,0.20157444299877103,0.2666125534026057
Jul,0.20083854572997986,0.3517291753434196,0.2852514577766366,0.22875750897365763,0.209689828230038,0.3520800691763615,0.19674577474880692,0.47854014962808655,0.401647328923853,0.24407183779626648,0.1794460333276313,0.23901584251555033
Aug,0.2017338705191913,0.4295232461379947,0.2842153249488141,0.23432843208500073,0.2546013880459244,0.35093278229698893,0.21064807894005033,0.497971620927374,0.502422246085899,0.2946561231659637,0.18349314125727695,0.24844934554624315
Sep,0.179957008143154,0.36036327830824716,0.26837043022604307,0.20298632199012345,0.3386868602235342,0.3647347095020504,0.23743165652215686,0.508391585688029,,0.3137390616152267,0.1550244799165659,0.22218720755971158
Oct,0.12207432612030893,0.3501023050838554,0.2267182339795745,0.13489193781154402,0.2579443296777275,,0.22310846134389767,0.5082636600538388,,0.2692176386464873,0.10845296408852642,0.15728902317459517
Nov,0.10728507062290943,,0.18535751081689822,0.09825902860383358,0.3352619051408935,,,,,0.24595224442130717,0.08439433754477375,0.10802277761914139
Dec,0.10249590856035769,,0.1526182618828097,0.08693855249094211,,,,,,0.22857630710365365,0.07471099377862368,0.09453833569650079
